id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
0000000,27,male,fair,0,0,dorsal right,Hand_0000002.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000003.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000004.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000005.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000006.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000007.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000008.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000009.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000010.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000011.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000012.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000013.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000014.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000015.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000016.jpg,0
0000000,27,male,fair,0,0,dorsal right,Hand_0000020.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000021.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000022.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000023.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000024.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000025.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000026.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000027.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000028.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000029.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000030.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000031.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000032.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000033.jpg,0
0000000,27,male,fair,1,0,dorsal left,Hand_0000034.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000038.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000039.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000040.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000041.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000042.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000043.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000044.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000045.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000046.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000047.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000048.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000049.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000050.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000051.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000052.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000053.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000054.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000055.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000056.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000057.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000058.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000059.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000060.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000061.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000062.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000063.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000064.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000065.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000066.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000067.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000068.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000069.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000070.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000071.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000072.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000073.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000074.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000075.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000076.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000077.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000078.jpg,0
0000000,27,male,fair,0,0,dorsal left,Hand_0000079.jpg,0
0000559,20,female,dark,0,0,dorsal right,Hand_0000080.jpg,0
0000559,20,female,dark,0,0,dorsal right,Hand_0000081.jpg,0
0000559,20,female,dark,0,0,dorsal right,Hand_0000082.jpg,0
